Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
I5,IPN,18_2019,2816,18,2019
M9,UAEM,18_2019,14,18,2019
NO,Desconocido,18_2019,286486,18,2019
S0,SE - COBAEM,18_2019,265,18,2019
S1,SE - CONALEP ESTADO DE MÉXICO,18_2019,858,18,2019
S2,SE - TELEBACHILLERATO,18_2019,104,18,2019
S4,SE - CBT,18_2019,677,18,2019
S5,SE - CECYTEM,18_2019,474,18,2019
S7,SE - P.O. (1),18_2019,1199,18,2019
S8,SE - P.O. (2),18_2019,1374,18,2019
T3,UEMSTAyCM CMM,18_2019,92,18,2019
U6,UNAM,18_2019,1672,18,2019
A3,UEMSTAyCM CBTA,19_2019,112,19,2019
B0,Bachilleres,19_2019,3342,19,2019
C1,CONALEP,19_2019,4034,19,2019
D4,UEMSTIS,19_2019,4499,19,2019
G2,Dirección General del Bachillerato,19_2019,139,19,2019
I5,IPN,19_2019,2227,19,2019
M9,UAEM,19_2019,16,19,2019
NO,Desconocido,19_2019,289893,19,2019
S0,SE - COBAEM,19_2019,250,19,2019
S1,SE - CONALEP ESTADO DE MÉXICO,19_2019,776,19,2019
S2,SE - TELEBACHILLERATO,19_2019,84,19,2019
S4,SE - CBT,19_2019,568,19,2019
S5,SE - CECYTEM,19_2019,426,19,2019
S7,SE - P.O. (1),19_2019,1015,19,2019
S8,SE - P.O. (2),19_2019,1247,19,2019
T3,UEMSTAyCM CMM,19_2019,90,19,2019
U6,UNAM,19_2019,1441,19,2019
A3,UEMSTAyCM CBTA,20_2019,120,20,2019
B0,Bachilleres,20_2019,2806,20,2019
C1,CONALEP,20_2019,3725,20,2019
D4,UEMSTIS,20_2019,3721,20,2019
G2,Dirección General del Bachillerato,20_2019,145,20,2019
I5,IPN,20_2019,1775,20,2019
M9,UAEM,20_2019,28,20,2019
NO,Desconocido,20_2019,292475,20,2019
S0,SE - COBAEM,20_2019,250,20,2019
S1,SE - CONALEP ESTADO DE MÉXICO,20_2019,718,20,2019
S2,SE - TELEBACHILLERATO,20_2019,107,20,2019
S4,SE - CBT,20_2019,472,20,2019
S5,SE - CECYTEM,20_2019,372,20,2019
S7,SE - P.O. (1),20_2019,890,20,2019
S8,SE - P.O. (2),20_2019,1106,20,2019
T3,UEMSTAyCM CMM,20_2019,119,20,2019
U6,UNAM,20_2019,1330,20,2019
A3,UEMSTAyCM CBTA,01_2020,558,01,2020
B0,Bachilleres,01_2020,8298,01,2020
C1,CONALEP,01_2020,6104,01,2020
D4,UEMSTIS,01_2020,14527,01,2020
G2,Dirección General del Bachillerato,01_2020,604,01,2020
I5,IPN,01_2020,43575,01,2020
M9,UAEM,01_2020,1156,01,2020
NO,Desconocido,01_2020,0,01,2020
S0,SE - COBAEM,01_2020,3684,01,2020
S1,SE - CONALEP ESTADO DE MÉXICO,01_2020,9069,01,2020
S2,SE - TELEBACHILLERATO,01_2020,562,01,2020
S4,SE - CBT,01_2020,11028,01,2020
S5,SE - CECYTEM,01_2020,8292,01,2020
S7,SE - P.O. (1),01_2020,17717,01,2020
S8,SE - P.O. (2),01_2020,12493,01,2020
T3,UEMSTAyCM CMM,01_2020,101,01,2020
U6,UNAM,01_2020,164941,01,2020
A3,UEMSTAyCM CBTA,02_2020,528,02,2020
B0,Bachilleres,02_2020,12212,02,2020
C1,CONALEP,02_2020,7815,02,2020
D4,UEMSTIS,02_2020,17146,02,2020
G2,Dirección General del Bachillerato,02_2020,544,02,2020
I5,IPN,02_2020,41940,02,2020
M9,UAEM,02_2020,934,02,2020
NO,Desconocido,02_2020,786,02,2020
S0,SE - COBAEM,02_2020,3864,02,2020
S1,SE - CONALEP ESTADO DE MÉXICO,02_2020,10350,02,2020
S2,SE - TELEBACHILLERATO,02_2020,480,02,2020
S4,SE - CBT,02_2020,13301,02,2020
S5,SE - CECYTEM,02_2020,9784,02,2020
S7,SE - P.O. (1),02_2020,19961,02,2020
S8,SE - P.O. (2),02_2020,14443,02,2020
T3,UEMSTAyCM CMM,02_2020,92,02,2020
U6,UNAM,02_2020,148529,02,2020
A3,UEMSTAyCM CBTA,03_2020,698,03,2020
B0,Bachilleres,03_2020,17809,03,2020
C1,CONALEP,03_2020,9062,03,2020
D4,UEMSTIS,03_2020,19909,03,2020
G2,Dirección General del Bachillerato,03_2020,769,03,2020
I5,IPN,03_2020,45911,03,2020
M9,UAEM,03_2020,904,03,2020
NO,Desconocido,03_2020,2866,03,2020
S0,SE - COBAEM,03_2020,4232,03,2020
S1,SE - CONALEP ESTADO DE MÉXICO,03_2020,10938,03,2020
S2,SE - TELEBACHILLERATO,03_2020,713,03,2020
